Len_A,Len_B,Knuth_ms,NR_ms
50,5,1.999964006,0.999982003
50,10,2.999946009,1.999964006
50,15,3.000008874,2.999946009
50,20,3.000008874,3.000008874
50,25,2.999946009,3.000008874
50,30,2.999946009,3.000008874
50,35,3.000008874,3.000008874
50,40,2.999946009,3.000008874
50,45,3.999990877,3.999990877
50,50,3.999990877,3.999990877
100,5,5.999954883,2.000026871
100,10,6.000017747,3.000008874
100,15,6.99999975,3.999990877
100,20,6.000017747,4.99997288
100,25,6.99999975,3.999990877
100,30,6.99999975,3.999990877
100,35,6.99999975,4.99997288
100,40,6.99999975,3.999990877
100,45,6.99999975,4.99997288
100,50,6.99999975,4.99997288
100,55,6.99999975,4.99997288
100,60,7.999981754,4.99997288
100,65,7.999981754,4.99997288
100,70,7.999981754,4.99997288
100,75,7.999981754,4.99997288
100,80,7.999981754,3.999990877
100,85,8.999963757,3.999990877
100,90,8.999963757,4.99997288
100,95,8.999963757,3.999990877
100,100,8.999963757,3.999990877
150,5,8.999963757,3.000008874
150,10,8.999963757,3.999990877
150,15,10.00000862,4.99997288
150,20,9.000026621,4.99997288
150,25,10.00000862,4.99997288
150,30,10.00000862,4.99997288
150,35,10.00000862,4.99997288
150,40,10.99999063,5.000035744
150,45,10.99999063,4.99997288
150,50,10.99999063,4.99997288
150,55,10.99999063,4.99997288
150,60,11.99997263,5.000035744
150,65,11.99997263,4.99997288
150,70,11.99997263,4.99997288
150,75,12.00003549,4.99997288
150,80,12.99995463,5.000035744
150,85,12.99995463,4.99997288
150,90,12.99995463,4.99997288
150,95,13.0000175,5.000035744
150,100,12.99995463,5.000035744
200,5,10.99999063,3.999990877
200,10,12.00003549,4.99997288
200,15,12.99995463,5.999954883
200,20,13.0000175,6.99999975
200,25,12.99995463,5.999954883
200,30,13.9999995,6.99999975
200,35,13.9999995,6.99999975
200,40,13.9999995,6.99999975
200,45,14.9999815,6.99999975
200,50,14.9999815,6.99999975
200,55,14.9999815,6.99999975
200,60,15.00004437,6.99999975
200,65,15.99996351,6.99999975
200,70,16.00002637,6.99999975
200,75,15.99996351,6.99999975
200,80,17.00000837,6.99999975
200,85,17.00000837,6.99999975
200,90,17.00000837,6.99999975
200,95,17.99999038,6.99999975
200,100,17.99999038,6.99999975
250,5,14.9999815,5.999954883
250,10,14.9999815,6.99999975
250,15,15.99996351,7.999981754
250,20,16.00002637,6.99999975
250,25,17.00000837,6.99999975
250,30,17.00000837,7.999981754
250,35,17.00000837,6.99999975
250,40,17.99999038,6.99999975
250,45,17.99999038,7.999981754
250,50,17.99999038,6.99999975
250,55,18.99997238,6.99999975
250,60,18.99997238,6.99999975
250,65,19.99995438,7.999981754
250,70,19.99995438,6.99999975
250,75,20.00001725,7.999981754
250,80,20.99999925,6.99999975
250,85,20.99999925,6.99999975
250,90,20.99999925,7.999981754
250,95,21.99998125,7.999981754
250,100,21.99998125,7.999981754
300,5,17.99999038,6.99999975
300,10,17.99999038,7.999981754
300,15,18.99997238,7.999981754
300,20,19.00003524,7.999981754
300,25,19.99995438,7.999981754
300,30,20.99999925,7.999981754
300,35,20.99999925,7.999981754
300,40,20.99999925,7.999981754
300,45,21.99998125,7.999981754
300,50,21.99998125,7.999981754
300,55,22.99996326,7.999981754
300,60,24.00000812,7.999981754
300,65,23.00002612,8.000044618
300,70,24.00000812,8.000044618
300,75,24.00000812,7.999981754
300,80,24.99999013,7.999981754
300,85,24.99999013,7.999981754
300,90,24.99999013,7.999981754
300,95,27.000017,7.999981754
300,100,27.000017,8.999963757
350,5,19.99995438,7.999981754
350,10,21.99998125,8.000044618
350,15,21.99998125,11.00005349
350,20,21.99998125,11.99997263
350,25,23.00002612,10.99999063
350,30,23.99994526,11.99997263
350,35,24.00000812,11.99997263
350,40,24.99999013,11.99997263
350,45,24.99999013,11.99997263
350,50,25.99997213,11.99997263
350,55,25.99997213,11.99997263
350,60,27.000017,11.99997263
350,65,27.999999,12.00003549
350,70,27.999999,11.99997263
350,75,28.999981,11.99997263
350,80,28.999981,11.99997263
350,85,28.999981,11.99997263
350,90,30.00002587,11.99997263
350,95,31.00000788,11.99997263
350,100,31.00000788,11.99997263
400,5,23.99994526,8.999963757
400,10,24.99999013,9.99994576
400,15,25.99997213,13.0000175
400,20,25.99997213,12.99995463
400,25,26.99995413,13.0000175
400,30,27.999999,12.99995463
400,35,28.999981,12.99995463
400,40,29.00004387,12.99995463
400,45,29.99996301,12.99995463
400,50,31.00000788,13.0000175
400,55,29.99996301,12.99995463
400,60,31.00000788,13.0000175
400,65,31.99998988,13.0000175
400,70,31.99998988,13.0000175
400,75,32.99997188,13.0000175
400,80,33.99995388,12.99995463
400,85,33.99995388,13.0000175
400,90,34.99999875,13.0000175
400,95,35.99998076,12.99995463
400,100,36.00004362,13.0000175
450,5,26.99995413,13.0000175
450,10,27.999999,13.9999995
450,15,28.999981,13.0000175
450,20,28.999981,13.0000175
450,25,29.99996301,13.9999995
450,30,31.00000788,13.9999995
450,35,31.00000788,13.9999995
450,40,31.99998988,13.9999995
450,45,32.99997188,13.9999995
450,50,34.00001675,13.9999995
450,55,34.00001675,13.9999995
450,60,34.99999875,13.9999995
450,65,35.99998076,13.9999995
450,70,35.99998076,13.9999995
450,75,36.99996276,13.9999995
450,80,38.00000763,13.9999995
450,85,38.00000763,13.9999995
450,90,38.99998963,13.9999995
450,95,40.99995364,13.9999995
450,100,40.0000345,13.9999995
500,5,29.99996301,14.9999815
500,10,31.00000788,15.99996351
500,15,31.99998988,14.9999815
