Len_A,Len_B,Knuth_ms,NR_ms
50,5,2.000089735,1.999964006
50,10,2.000089735,1.999964006
50,15,1.999964006,3.999928012
50,20,2.000089735,3.999928012
50,25,3.999928012,1.999964006
50,30,3.999928012,3.999928012
50,35,3.999928012,3.999928012
50,40,3.999928012,3.999928012
50,45,3.999928012,3.999928012
50,50,3.999928012,3.999928012
100,5,5.999892019,1.999964006
100,10,6.000017747,1.999964006
100,15,5.999892019,4.000053741
100,20,6.000017747,3.999928012
100,25,6.000017747,3.999928012
100,30,6.000017747,3.999928012
100,35,6.000017747,4.000053741
100,40,6.000017747,3.999928012
100,45,6.000017747,3.999928012
100,50,7.999981754,4.000053741
100,100,8.000107482,4.000053741
150,5,7.999981754,1.999964006
150,10,7.999981754,3.999928012
150,15,9.99994576,3.999928012
150,20,7.999981754,3.999928012
150,25,9.99994576,3.999928012
150,30,10.00007149,3.999928012
150,35,9.99994576,4.000053741
150,40,10.00007149,3.999928012
150,45,9.99994576,3.999928012
150,50,12.00003549,4.000053741
150,100,12.00003549,4.000053741
150,150,13.9999995,6.000017747
200,5,11.99990977,3.999928012
200,10,11.99990977,3.999928012
200,15,12.00003549,6.000017747
200,20,11.99990977,6.000017747
200,25,13.9999995,6.000017747
200,30,13.9999995,6.000017747
200,35,13.9999995,6.000017747
200,40,13.9999995,6.000017747
200,45,13.9999995,6.000017747
200,50,13.9999995,6.000017747
200,100,16.00008924,6.000017747
200,150,20.00001725,6.000017747
200,200,23.99994526,6.000017747
250,5,13.9999995,5.999892019
250,10,13.9999995,5.999892019
250,15,15.99996351,6.000017747
250,20,15.99996351,6.000017747
250,25,17.99992751,6.000017747
250,30,17.99992751,6.000017747
250,35,17.99992751,6.000017747
250,40,17.99992751,6.000017747
250,45,17.99992751,6.000017747
250,50,18.00005324,6.000017747
250,100,21.99998125,7.999981754
250,150,26.000035,7.999981754
250,200,27.999999,7.999981754
250,250,32.00005274,7.999981754
300,5,17.99992751,6.000017747
300,10,17.99992751,7.999981754
300,15,17.99992751,7.999981754
300,20,17.99992751,7.999981754
300,25,19.99989152,7.999981754
300,30,20.00001725,7.999981754
300,35,21.99998125,7.999981754
300,40,20.00001725,7.999981754
300,45,21.99998125,7.999981754
300,50,21.99998125,7.999981754
300,100,26.000035,7.999981754
300,150,31.99992701,7.999981754
300,200,34.00001675,8.000107482
300,250,37.99994476,7.999981754
300,300,41.9999985,7.999981754
350,5,20.00001725,7.999981754
350,10,21.99998125,7.999981754
350,15,21.99998125,11.99990977
350,20,21.99998125,10.00007149
350,25,23.99994526,9.99994576
350,30,23.99994526,9.99994576
350,35,23.99994526,11.99990977
350,40,23.99994526,11.99990977
350,45,24.00007099,11.99990977
350,50,25.99990927,12.00003549
350,100,29.99996301,11.99990977
350,150,37.99994476,12.00003549
350,200,39.99990877,12.00003549
350,250,45.99992651,11.99990977
350,300,49.99998026,11.99990977
350,350,52.00006999,13.9999995
400,5,21.99998125,7.999981754
400,10,23.99994526,9.99994576
400,15,24.00007099,11.99990977
400,20,25.99990927,11.99990977
400,25,27.999999,12.00003549
400,30,27.999999,12.00003549
400,35,27.999999,12.00003549
400,40,27.999999,11.99990977
400,45,29.99996301,12.00003549
400,50,30.00008874,11.99990977
400,100,35.99998076,11.99990977
400,150,41.9999985,12.00003549
400,200,47.99989052,13.9999995
400,250,52.00006999,13.9999995
400,300,58.00008774,13.9999995
400,350,62.00001575,13.9999995
400,400,65.99994376,13.9999995
450,5,25.99990927,12.00003549
450,10,27.999999,13.9999995
450,15,27.999999,12.00003549
450,20,27.999999,13.9999995
450,25,31.99992701,12.00003549
450,30,31.99992701,12.00003549
450,35,32.00005274,12.00003549
450,40,31.99992701,13.9999995
450,45,31.99992701,13.9999995
450,50,34.00001675,13.9999995
450,100,39.99990877,13.9999995
450,150,48.00001625,13.9999995
450,200,53.99990827,13.9999995
450,250,57.99996201,13.9999995
450,300,65.99994376,15.99996351
450,350,69.9999975,15.99996351
450,400,73.99992552,15.99996351
450,450,79.99994326,15.99996351
500,5,29.99996301,13.9999995
500,10,29.99996301,15.99996351
500,15,31.99992701,13.9999995
500,20,31.99992701,13.9999995
500,25,34.00001675,13.9999995
500,30,35.99998076,13.9999995
500,35,35.99998076,13.9999995
500,40,35.99998076,13.9999995
500,45,35.99998076,13.9999995
500,50,37.99994476,13.9999995
500,100,43.99996251,15.99996351
500,150,54.000034,15.99996351
500,200,62.00001575,15.99996351
500,250,65.99994376,16.00008924
500,300,73.99992552,17.99992751
500,350,79.99994326,16.00008924
500,400,83.999997,16.00008924
500,450,91.99997876,15.99996351
500,500,97.99999651,15.99996351
550,5,31.99992701,15.99996351
550,10,34.00001675,15.99996351
550,15,34.00001675,15.99996351
550,20,34.00001675,13.9999995
550,25,38.00007049,15.99996351
550,30,39.99990877,15.99996351
550,35,37.99994476,15.99996351
550,40,38.00007049,15.99996351
550,45,40.0000345,15.99996351
550,50,43.99996251,15.99996351
550,100,47.99989052,16.00008924
550,150,59.99992602,17.99992751
550,200,66.00006949,15.99996351
550,250,74.00005125,17.99992751
550,300,81.99990727,17.99992751
550,350,87.99992502,17.99992751
550,400,93.99994276,17.99992751
550,450,101.9999245,18.00005324
550,500,108.000068,17.99992751
550,550,113.99996,18.00005324
600,5,34.00001675,15.99996351
600,10,37.99994476,17.99992751
600,15,37.99994476,15.99996351
600,20,37.99994476,16.00008924
600,25,41.9999985,15.99996351
600,30,41.9999985,15.99996351
600,35,41.9999985,16.00008924
600,40,41.9999985,15.99996351
600,45,43.99996251,17.99992751
600,50,45.99992651,17.99992751
600,100,53.99990827,17.99992751
600,150,65.99994376,17.99992751
600,200,71.99996151,18.00005324
600,250,79.99994326,20.00001725
600,300,88.00005075,20.00001725
600,350,95.99990677,20.00001725
600,400,101.9999245,20.00001725
600,450,111.999996,20.00001725
600,500,118.0000138,20.00001725
600,550,127.9999595,20.00001725
600,600,137.9999053,20.00001725
650,5,37.99994476,18.00005324
650,10,39.99990877,19.99989152
650,15,40.0000345,17.99992751
650,20,40.0000345,17.99992751
650,25,45.99992651,17.99992751
650,30,45.99992651,17.99992751
650,35,45.99992651,17.99992751
650,40,45.99992651,17.99992751
650,45,47.99989052,18.00005324
650,50,51.99994426,20.00001725
650,100,57.99996201,19.99989152
650,150,69.9999975,19.99989152
650,200,80.00006899,20.00001725
650,250,85.99996101,21.99998125
650,300,95.99990677,20.00001725
650,350,104.0000143,21.99998125
650,400,109.9999063,21.99998125
650,450,119.9999778,21.99998125
650,500,127.9999595,21.99998125
650,550,135.9999413,21.99998125
650,600,145.999887,21.99998125
650,650,158.0000482,21.99998125
700,5,40.0000345,20.00001725
700,10,43.99996251,20.00001725
700,15,43.99996251,25.99990927
700,20,43.99996251,25.99990927
700,25,49.99998026,26.000035
700,30,49.99998026,27.999999
700,35,49.99998026,27.999999
700,40,49.99998026,27.999999
700,45,49.99998026,27.999999
700,50,54.000034,27.999999
700,100,61.99989002,27.999999
700,150,76.00001525,29.99996301
700,200,83.999997,29.99996301
700,250,91.99997876,29.99996301
700,300,102.0000502,31.99992701
700,350,111.999996,32.00005274
700,400,118.0000138,32.00005274
700,450,129.9999235,33.99989102
700,500,138.000031,33.99989102
700,550,146.0000128,33.99989102
700,600,157.9999225,34.00001675
700,650,166.00003,34.00001675
700,700,175.9999758,34.00001675
750,5,43.99996251,21.99998125
750,10,46.00005224,21.99998125
750,15,48.00001625,27.999999
750,20,48.00001625,29.99996301
750,25,51.99994426,27.999999
750,30,53.99990827,27.999999
750,35,53.99990827,29.99996301
750,40,53.99990827,29.99996301
750,45,55.999998,29.99996301
750,50,59.99992602,29.99996301
750,100,65.99994376,30.00008874
750,150,81.99990727,31.99992701
750,200,91.99997876,32.00005274
750,250,99.99996051,31.99992701
750,300,110.000032,33.99989102
750,350,118.0000138,33.99989102
750,400,125.9999955,33.99989102
750,450,139.999995,35.99998076
750,500,147.9999768,35.99998076
750,550,156.0000842,34.00001675
750,600,167.999994,35.99998076
750,650,180.0000295,35.99998076
750,700,186.0000473,37.99994476
750,750,189.9999753,35.99998076
800,5,45.99992651,21.99998125
800,10,49.99998026,23.99994526
800,15,50.00010598,29.99996301
800,20,51.99994426,29.99996301
800,25,57.99996201,29.99996301
800,30,57.99996201,30.00008874
800,35,57.99996201,29.99996301
800,40,57.99996201,29.99996301
800,45,57.99996201,29.99996301
800,50,62.00001575,31.99992701
800,100,69.9999975,31.99992701
800,150,87.99992502,32.00005274
800,200,96.0000325,34.00001675
800,250,104.0000143,34.00001675
800,300,115.999924,34.00001675
800,350,125.9999955,35.99998076
